Date,Total Pos, Total Long,Total Short,Dollar PnL,Cumulative PnL,Total Market Value,Net Market Value 
20051121,312600,382700,57900,90560,6.47041e+09,2.7446e+09,1.32507e+07
20051122,339900,399700,45600,113553,6.49173e+09,3.04988e+09,1.43368e+07
20051123,380300,417300,36600,12586,6.48969e+09,3.18253e+09,1.53982e+07
20051125,380700,417200,36500,41704,6.49885e+09,3.14247e+09,1.56446e+07
20051128,391000,406600,35700,-183765,6.465e+09,3.19387e+09,1.59473e+07
20051129,385600,395600,38400,34040,6.47174e+09,3.16069e+09,1.59791e+07
20051130,373400,381300,44500,-68936,6.45753e+09,3.05089e+09,1.54301e+07
20051201,357100,364400,52900,210072,6.49564e+09,2.95102e+09,1.49514e+07
20051202,360100,353100,49300,-7419,6.49464e+09,2.94052e+09,1.50357e+07
20051205,346600,351400,59400,-73088,6.48258e+09,2.81686e+09,1.44872e+07
20051206,349400,344000,67300,28778,6.48807e+09,2.89268e+09,1.4514e+07
20051207,356000,319800,65800,-105940,6.47022e+09,2.92601e+09,1.4577e+07
20051208,338500,272800,73100,4241,6.47128e+09,2.72841e+09,1.37339e+07
20051209,308800,244200,78500,58597,6.48148e+09,2.52223e+09,1.29798e+07
20051212,293600,223800,83100,44300,6.49143e+09,2.36691e+09,1.26246e+07
20051213,256700,216400,95700,65778,6.50047e+09,2.06414e+09,1.13889e+07
20051214,275100,234400,92700,40488,6.50536e+09,2.15912e+09,1.17757e+07
20051215,281700,235400,91700,-62421,6.49335e+09,2.16099e+09,1.17089e+07
20051216,270700,235600,94000,-68492,6.48593e+09,1.98666e+09,1.10728e+07
20051219,265900,230700,91000,-121262,6.46629e+09,1.86837e+09,1.06586e+07
20051220,262200,224500,101500,10640,6.46756e+09,1.84446e+09,1.05814e+07
20051221,232800,190200,111100,26963,6.46895e+09,1.53866e+09,9.51499e+06
20051222,193400,180100,129000,56467,6.47787e+09,1.34792e+09,8.45148e+06
20051223,172600,170600,138400,14172,6.47933e+09,1.13875e+09,8.17465e+06
20051227,154900,169500,149800,-49990,6.46959e+09,1.0501e+09,7.785e+06
20051228,135200,165100,149100,34274,6.47387e+09,9.12109e+08,7.14977e+06
20051229,123100,154600,153000,-51987,6.45806e+09,8.39225e+08,6.44866e+06
20051230,96000,143700,169100,-25013,6.45322e+09,6.74527e+08,5.47151e+06
20060103,83300,139200,169400,51578,6.46252e+09,5.77316e+08,4.90147e+06
20060104,79500,152200,155500,18203,6.46524e+09,5.57431e+08,4.73262e+06
20060105,100200,168500,123900,-27003,6.45811e+09,7.59246e+08,5.14142e+06
20060106,153000,203900,88300,86977,6.47204e+09,1.25253e+09,6.97103e+06
20060109,230100,274900,66400,83200,6.49067e+09,1.9306e+09,9.67965e+06
20060110,299900,313600,55700,-20661,6.48351e+09,2.67346e+09,1.22354e+07
20060111,311900,317700,49900,35306,6.49154e+09,2.70458e+09,1.26244e+07
20060112,336700,336600,45800,-80608,6.4788e+09,2.83646e+09,1.35433e+07
20060113,352200,343400,42300,15892,6.47987e+09,2.91815e+09,1.42054e+07
20060117,353400,332400,39900,-49583,6.47357e+09,2.95641e+09,1.41357e+07
20060118,333500,313400,49300,-21110,6.46707e+09,2.78807e+09,1.34515e+07
20060119,312700,290700,59800,153735,6.49591e+09,2.67633e+09,1.29224e+07
20060120,264200,263600,87100,-164042,6.46899e+09,2.17742e+09,1.14298e+07
20060123,219200,230800,109200,28932,6.47397e+09,1.95913e+09,9.63151e+06
20060124,185500,228000,129400,79412,6.48872e+09,1.76453e+09,8.72293e+06
20060125,144900,202700,148800,-28759,6.48331e+09,1.47084e+09,6.92794e+06
20060126,103100,192800,175300,63253,6.49575e+09,1.19319e+09,5.28789e+06
20060127,109500,202600,170200,107996,6.51678e+09,1.27944e+09,5.42493e+06
20060130,108800,213600,158000,30838,6.52097e+09,1.21744e+09,5.43115e+06
20060131,110700,216300,150700,23233,6.52938e+09,1.0973e+09,5.25175e+06
20060201,120800,234800,154500,-14711,6.52745e+09,1.09822e+09,5.40933e+06
20060202,130600,235600,157200,-59409,6.51771e+09,1.19409e+09,5.5662e+06
20060203,114300,223900,171900,2835,6.52077e+09,1.02079e+09,5.30479e+06
20060206,79400,201100,182800,70961,6.53221e+09,7.26575e+08,4.20981e+06
20060207,46100,189000,202100,-62329,6.52676e+09,4.39387e+08,2.90958e+06
20060208,-6100,173000,218900,3207,6.5255e+09,4.37581e+07,826479
20060209,-22100,172000,221300,19985,6.53107e+09,-1.10108e+08,24997
20060210,-31200,170000,217300,1737,6.52987e+09,-1.33519e+08,-495870
20060213,-21100,170200,216200,14188,6.53439e+09,1.23695e+07,-559798
20060214,-17500,171300,188800,23028,6.53599e+09,4.36618e+07,-288617
20060215,-24400,176800,170100,23295,6.54009e+09,-9.00375e+07,-246268
20060216,24900,211400,147200,-12717,6.53499e+09,3.1007e+08,1.56601e+06
20060217,72000,236300,133500,-16153,6.53157e+09,7.8015e+08,3.19197e+06
20060221,102300,253600,123100,-80347,6.51289e+09,1.00604e+09,4.06733e+06
20060222,113600,267700,109700,125410,6.53668e+09,1.1195e+09,4.75813e+06
20060223,128200,273900,105400,-7958,6.53507e+09,1.34584e+09,5.73458e+06
20060224,139700,291500,111100,3719,6.53614e+09,1.492e+09,6.45786e+06
20060227,160900,295300,102800,35631,6.53967e+09,1.62557e+09,7.43983e+06
20060228,175900,311000,92100,-83849,6.52453e+09,1.69983e+09,7.77264e+06
20060301,176400,303900,89900,57414,6.53776e+09,1.82145e+09,8.18212e+06
20060302,184500,307900,84500,-44082,6.52772e+09,1.92498e+09,8.75155e+06
20060303,194400,289600,86500,-12160,6.52371e+09,2.02435e+09,9.07158e+06
20060306,186200,266500,102100,-8762,6.51665e+09,1.9845e+09,8.81727e+06
20060307,166400,234400,118500,-17745,6.5127e+09,1.79406e+09,8.64967e+06
20060308,130700,218100,139700,19210,6.51671e+09,1.33313e+09,7.21516e+06
20060309,112800,179600,148900,-1208,6.51864e+09,1.14848e+09,6.33051e+06
20060310,73800,156800,171900,65116,6.532e+09,8.04849e+08,4.65108e+06
20060313,65400,157100,187300,-5787,6.53034e+09,7.78583e+08,4.26399e+06
20060314,88200,165500,182800,8794,6.53248e+09,9.64524e+08,4.97517e+06
20060315,90600,174700,173600,45907,6.54347e+09,9.97003e+08,5.24075e+06
20060316,108900,199400,140700,24319,6.54918e+09,1.13653e+09,6.12779e+06
20060317,134700,225000,118400,68693,6.56202e+09,1.23166e+09,7.25544e+06
20060320,146100,252300,103100,-18361,6.5592e+09,1.28083e+09,7.93454e+06
20060321,160500,261200,98100,-49879,6.54663e+09,1.3803e+09,8.47539e+06
20060322,166900,274500,89300,72133,6.55942e+09,1.40886e+09,8.74224e+06
20060323,167100,264600,92300,-30763,6.55195e+09,1.40682e+09,8.50679e+06
20060324,175000,253900,90800,-7095,6.55049e+09,1.4483e+09,8.81084e+06
20060327,178000,248500,85500,-8156,6.54807e+09,1.47115e+09,8.85266e+06
20060328,202900,253300,83100,-34737,6.54105e+09,1.72648e+09,1.01573e+07
20060329,208600,253300,81200,97327,6.56252e+09,1.88235e+09,1.04751e+07
20060330,211800,241600,84300,-29974,6.55631e+09,1.8549e+09,1.04772e+07
20060331,196100,230000,94400,-11942,6.55388e+09,1.71772e+09,9.7154e+06
20060403,205300,228200,96800,-17955,6.55173e+09,1.7789e+09,9.61634e+06
20060404,217900,228200,96600,73525,6.56486e+09,1.88608e+09,1.00442e+07
20060405,205500,222100,105500,61143,6.57367e+09,1.81814e+09,9.49219e+06
20060406,191700,211300,115100,15680,6.57647e+09,1.76174e+09,8.91122e+06
20060407,178800,204400,122800,-97739,6.55979e+09,1.62175e+09,8.318e+06
20060410,154500,193500,135600,-35603,6.55985e+09,1.30933e+09,7.1858e+06
20060411,132600,182900,156700,-40942,6.55472e+09,1.18369e+09,5.94536e+06
20060412,54600,162900,196800,-16561,6.55004e+09,4.36513e+08,3.63595e+06
20060413,13100,146200,220300,21048,6.55242e+09,8.7048e+07,2.25384e+06
20060417,-10400,138700,235000,43630,6.5586e+09,-3.2951e+07,1.35268e+06
20060418,-12100,139500,233100,45865,6.56734e+09,-6.31571e+07,1.25365e+06
20060419,-11800,132400,212800,23091,6.57194e+09,-8.825e+07,1.07945e+06
20060420,-1700,144600,185000,-58387,6.56233e+09,2.11131e+07,1.66183e+06
20060421,22700,164500,156800,44052,6.57395e+09,3.40261e+08,2.63313e+06
20060424,39500,193700,136900,-45488,6.56346e+09,4.21125e+08,3.84715e+06
20060425,37400,207900,137400,-18569,6.56168e+09,4.16754e+08,4.17638e+06
20060426,53400,210100,136100,25135,6.56738e+09,4.78884e+08,4.60768e+06
20060427,57000,210100,141000,2644,6.57105e+09,5.47085e+08,4.85431e+06
20060428,51700,195000,134100,-42813,6.56445e+09,4.19412e+08,4.39334e+06
20060501,43100,191900,133200,14493,6.56784e+09,2.96002e+08,3.84118e+06
20060502,55500,202700,122900,95402,6.58291e+09,3.98628e+08,4.19339e+06
20060503,61600,203700,117800,27963,6.58973e+09,4.28535e+08,4.15261e+06
20060504,83600,213500,109700,33398,6.59477e+09,5.59542e+08,4.33785e+06
20060505,112500,220900,107700,12805,6.59659e+09,7.92456e+08,5.30781e+06
20060508,157500,249000,101900,3764,6.59862e+09,1.19211e+09,6.6899e+06
20060509,163400,259300,105800,41182,6.60558e+09,1.30971e+09,6.72048e+06
20060510,175800,268200,96500,-6406,6.60067e+09,1.48103e+09,7.31621e+06
